cluster,title,snippet,link
0,Northeast Nigeria Humanitarian Response: Health Sector Bulletin - June 2024 - ReliefWeb,northeast nigeria humanitarian response health sector bulletin june 2024 reliefweb. a href targetblanknortheast nigeria humanitarian response health sector bulletin june 2024anbspnbspfont color6f6f6freliefwebfont,https://news.google.com/rss/articles/CBMirgFBVV95cUxPNkNGSXNMc3VNWG9OV2Z0UlBLdEw0VE1qRVRXNUF6cDBpbHdYbGpOVkNFdjd1NE9IUlBvbUw0X1RsZkxmZ2tOLUsyNFlUcHY5d3FDMHFSUHhrNF9PdVpId2pQVW51blRyT0tXZGtGczlHNXl1YUVQeVp3S1VmX0tEVmxnNVQzNmM0YVQ2Q244clF0WVZ6cUtjVlBGTDJrTG00ZG1CeU00VVNlWWdEZUE?oc=5
0,Northeast Nigeria Humanitarian Response: Health Sector Bulletin - February 2024 - ReliefWeb,northeast nigeria humanitarian response health sector bulletin february 2024 reliefweb. a href targetblanknortheast nigeria humanitarian response health sector bulletin february 2024anbspnbspfont color6f6f6freliefwebfont,https://news.google.com/rss/articles/CBMiswFBVV95cUxQd3RULUJRSXlDYTV6bmNhVmlxT0dzWFAzMWpiSUdMbXVUY1FlTXIwbXdnZmNyamVjeW1ENnZUUkM3T09oczFXWGFTd2x1OXpqcDBvRnVLRTI1SXE0MU1PdUVLQU5XeHdWcHVvamg3NVdzRlQyRXM0VHdBLXA1aGVzZEp0TFgyd01ialRXWGcwV1FQZmowYWVaQzVlYndWQlNVV1VMdm9DbTRPMmhWbS03M19GQQ?oc=5
0,Northeast Nigeria Humanitarian Response: Health Sector Bulletin - September 2024 - ReliefWeb,northeast nigeria humanitarian response health sector bulletin september 2024 reliefweb. a href targetblanknortheast nigeria humanitarian response health sector bulletin september 2024anbspnbspfont color6f6f6freliefwebfont,https://news.google.com/rss/articles/CBMitAFBVV95cUxNZ1k3VjlyVlp3QXlzZXJFUTRKUkJ1MHltZmMyZTU3NTQtc1RsTkZCNlYzcWxMTEpFVFhtWHEwX0ZNbHMySXdkYmVOWVBDUkJRSzhaaWhxN1RhbDlHOGVjcmlTWVI0elpveW1UZXdSakU3S0hqTW9YNTJSQ19NT0lkY2ZfMk81TU5SdXN6ZjhPWWJ5eGp3T2M5Tkc4cEV4QzV5UWZ1LVFtRVB2UEpnZFUtc3FUZDI?oc=5
1,"Cholera: NCDC registers 63 deaths, 2102 suspected cases - PM News Nigeria","cholera ncdc registers 63 deaths, 2102 suspected cases pm news nigeria. a href targetblankcholera ncdc registers 63 deaths, 2102 suspected casesanbspnbspfont color6f6f6fpm news nigeriafont",https://news.google.com/rss/articles/CBMilgFBVV95cUxNLVNBWDVzc05oWVZ5TVZCdXFlU2Y4QmYzSjNfNEwwU193YVBOUlVFMXlvczY2WVdqX3cyNE41b00tTjY0bTlXa2Roakc1Zjk0cUJwcGxJTGNpV1ZVQzh3VHpfcWl6N3ZUSlV3VWJkUHgzNEJ4a1R1YUNBQVdRbWpjc2xwSFVadHVqY2VvRXRWcTNybmhZaFHSAZ4BQVVfeXFMT1RHSVlla1ZiYmxhNjh1NEZ5S2lnampROHAyWG1idFJkVnNkVEJYaEFVdmRfQmlUODNROGg2WkszaTFXWWIyUTA5YUluLUJUMTByODFxSnBtbGM3OVlPcUUzcFRyTmd3UXZucUhEWFRSNnZKNTd3NmxSZHZkMnJ2MHd2SUVhTnBveXFRMHVzajQ3NkRrWGdvZkRlRnp3WEE?oc=5
1,"""Zero deaths"": Nigeria records 39 mpox cases, 5,951 cholera cases - Legit News","zero deaths nigeria records 39 mpox cases, 5,951 cholera cases legit news. a href targetblankzero deaths nigeria records 39 mpox cases, 5,951 cholera casesanbspnbspfont color6f6f6flegit newsfont",https://news.google.com/rss/articles/CBMirAFBVV95cUxOQ0dPd195dGZESGU4SWN3Y0NJSXV3OXUxanVRcDRlLWlLakdrZDVSek1icWNrWk9uN2poUGlNTmxXbXJtNHhQMmd3N0xXalNMa1BwUjZySlpXZkNyRDdVR0c0V2kyUVRKT3JJUG9YS1JMYlplcFdRUHltX0VyZjhtTmtkNUVzd2o1bkV2UTRUME1mYi1MNzBUUkxiRFFkQ3B3MEZMLUZHeS1oSWV4?oc=5
1,"Harpic Commemorates World Toilet Day, Advocates for Safe Sanitation for All - The Guardian Nigeria News","harpic commemorates world toilet day, advocates for safe sanitation for all the guardian nigeria news. a href targetblankharpic commemorates world toilet day, advocates for safe sanitation for allanbspnbspfont color6f6f6fthe guardian nigeria newsfont",https://news.google.com/rss/articles/CBMivwFBVV95cUxOX3pYR2xFYjl0QkpxNFdNR29BNnNFSjVwYnhNRFdrT05yTEt2dEs0b3hKR1pZUWc5TU1EV0xKUk94UWJoWTdJbmRkSVh5QU52bUdDR3Y3MDNnTmlwN1I1T3pLaGpYeU5VekVuMTIwRGc1UFYxWm1EcE9MTWhBbkx5c004V2c3SDhyRnVISG9zZXkzS3dDOWxGVy02WDJNZ0lTX1A1S0ZZLXFYTFc4UnVvano3YkJtR2hhczMxQl9Iaw?oc=5
2,How Nigeria Energy 2024 is a catalyst for powering West Africa’s clean energy transition - Business Insider Africa,how nigeria energy 2024 is a catalyst for powering west africas clean energy transition business insider africa. a href targetblankhow nigeria energy 2024 is a catalyst for powering west africas clean energy transitionanbspnbspfont color6f6f6fbusiness insider africafont,https://news.google.com/rss/articles/CBMizgFBVV95cUxNbmNLVHVNZFJ0aXEybDFSWXBRcTNEOFpNZC1YZDUxbk1nWHB5N2ZVb3VLZnNmLUxvOURDLW40NmgtclZmcXNuN2R0RHVTZXlSc2RSMVBXaWdHZ2pBVGpQeHdOQmJ5azFiOWxSeG1pZzNFTUltVktCQXNRdEVmSmkxVm5FRUJQMmNxNy11UGs5Z0QzcnQxWHdFZ0hpY3R5WHJhZ1E1NDQyX3d1QUN2VVU4RGRBZUhSMmxvaTNyZHpVWWN1WURHaEt1VU96T1Bwdw?oc=5
2,Nigeria: Borno State Ministry of Health - Weekly Situation Report: Health Sector Response to Cholera Outbreak and Flood Disaster (10/10/2024) - ReliefWeb,nigeria borno state ministry of health weekly situation report health sector response to cholera outbreak and flood disaster 10102024 reliefweb. a href targetblanknigeria borno state ministry of health weekly situation report health sector response to cholera outbreak and flood disaster 10102024anbspnbspfont color6f6f6freliefwebfont,https://news.google.com/rss/articles/CBMi9wFBVV95cUxNdlV2ZE5Udy0ydTh6X1VwaWtYRGZ0TVk3TVh3NFJ6SExwM0l4NUVQOEt1YzQtZXlBTTczeEV5TTRhQUczdWY3XzZtMlJfVERneVJlbTl2MzFod2ZUbEc4MTF1cEYtSkg1N1pfTmJWRjl6U0YwUTlWTkl2QU5LTDQwb3VVUUVXcnFnbHVNdm5aZWFEV3BCU19UY2x6MmtUaWNFU25MYmNLdjh4QUVaUE1Nb0pfa0xNSGctdWdLYjJ1NTRYc0ZzNzllWC1SbFdPcEtJQ2ZKYWJHLXpXbjBsZDlibTF1eEN3OU9uR01fek55Z2VnbFdEd3N3?oc=5
2,Global: Nigerian residents take Shell to UK High court following 10-year fight for justice - Amnesty International,global nigerian residents take shell to uk high court following 10year fight for justice amnesty international. a href targetblankglobal nigerian residents take shell to uk high court following 10year fight for justiceanbspnbspfont color6f6f6famnesty internationalfont,https://news.google.com/rss/articles/CBMi0wFBVV95cUxPMXU0UHB4TldMZE1scUFfdDJ3U2FYV3FpS3VVdk5UOVJNeDdxZ01EcHBMcFVOWGJkbExOa296RHVVckFhaF9sUnI2bUlWT2NYMzN4aXB2SWR2cUkwMWpVd1paWk1TYU5OeEMxMXhNcnk1dTZ6UHRSNVpHbjlKcTFONnp5X1hFbUE3QmxsTlBBVFJQQkZTbVE4MW9STjh1cW5hRHF3R25MWXFOeE5pN3NTU1kzSWJ0T3dLZHVYd21rZVNqT3FEUi1BRXM3T2daOGcwSl9J?oc=5
3,"Nigeria: Niger Delta oil spill clean up 'total failure', leaked files say - africanews.com","nigeria niger delta oil spill clean up total failure, leaked files say africanews.com. a href targetblanknigeria niger delta oil spill clean up total failure, leaked files sayanbspnbspfont color6f6f6fafricanews.comfont",https://news.google.com/rss/articles/CBMirAFBVV95cUxQWmFVSGRXU01JMUlLNjJsdDRRbndiV1F5anE3b0tPWno5YllscTNaSE1RdkZmWjk5cXlVZUxqYnV4NlZiWkV6Snh2TTJRaGFwZjd1Q3FvQ1pISm82di05cEFLaEZaT3V4UmkwODc2ZlkxYXJkcmlsY05qbk5aNXJLUVJBb1VpbmdYdEJiYmtwTEpuMnI3Y0E5WUQ3WnNxUzZzWHBXeFNDbTNpcTZi0gGyAUFVX3lxTFBXbm0xel9PcFd0LWprZnlsSHZxNU5xc2g3c2tZRlVabjFXZGcyX2duZVVfeEFldnkxRDhjMkM3dzRrTldlQ3c4ZDMySnZFd2xXa1F4T2pzUTcxR3hGN2xXR3dmWEVKaEdsRWp6MU44ekhhZlp2dURqaDh5TVAtUDBESHI1N29nVFVKYnIyeWhBUUlaN3llZkJoeEttdzRUVkllX2Q1WUFvQzVWZG9SeWpsc1E?oc=5
3,Activists urge Nigeria to delay Shell's $2.4 billion sale of assets in deeply polluted Niger Delta - africanews.com,activists urge nigeria to delay shells 2.4 billion sale of assets in deeply polluted niger delta africanews.com. a href targetblankactivists urge nigeria to delay shells 2.4 billion sale of assets in deeply polluted niger deltaanbspnbspfont color6f6f6fafricanews.comfont,https://news.google.com/rss/articles/CBMiyAFBVV95cUxQVjMxTnZxNFRuM1lpWGRiZ21Fc1VlaENBVWx3NTVab1hWbjVORDhOSGM1RzQwWkdXeF9ySWVWOTBUT3BPZlFrbEkxZUNOSUJQNUxUMkRydzB0c2Uyb0VBZlJJZXNpdXJpUmFablVXaHBQRDk2Q1h4MlJlZHhxdmluTnNrMVkxWmNzYkR1bGJ3RWZCWXRlTjUydkpfaU1ZakdpckdpbmdXWGFmeXVjTnExSEZXd0FBQ1dIUzhVdmxjZTVVNTlpRkVEVdIBzgFBVV95cUxQVXdsMjNKNmFXcjJJMGpTOVNuX3o0VUZ4X05NTzJHSFJlYmhKNEJyenFVVWkzUk1HdmhxampwdWpzNWJ4aEwzQ0s3NHR5VmE2MXBWbXpSRHdHb0FfTVU3dGtBVktwU1VrWTZxS1lDbG52MkxPRm83RGtWalJTd1E3WU9hSU1sWWpEM3pTUTB5Mk5QOFJoQnJNX0wzU0k2MmU5MXppUmxvLTFjMmRwcWNrRGFXcnBzSFlQX0FqVDJmb1ZlTzFVN2pJT2JURTJxQQ?oc=5
3,Oil Pollution In The Niger Delta: A National Crisis Requiring Urgent Federal Intervention - Mondaq,oil pollution in the niger delta a national crisis requiring urgent federal intervention mondaq. a href targetblankoil pollution in the niger delta a national crisis requiring urgent federal interventionanbspnbspfont color6f6f6fmondaqfont,https://news.google.com/rss/articles/CBMi4AFBVV95cUxQcmZOUWgyaHc5alJNc3JiNDRtOVVFVENVb2ZrNlNDbWZ6c2g3eFVLMlMtbk8zbVB6dENKbTIyQjlOVmZpakJJek5SU3pLNHQ2MENCMzZwb25WSWhmTFVmdUx2bDlKN2I2bFFXYmJVRUhXOEZ4Z2Q1NGxWUG4zVFVhRHNPNWRuMlk0eHBjVEtmb1JKQ0ZlT3h2UUptdnNzeFN5eFhZZkN5aktETVdBU1lqTVRjWm1YR0x2aXk5OTZoSUFHMUFSSU5vTjVGU1NUSDcwWUJsZTYtNFhwaTUtdEhydg?oc=5
4,"Nigeria (Northeast and Northwest): IPC Acute Malnutrition Analysis (May 2023 - April 2024) Published on October 17, 2023 - ReliefWeb","nigeria northeast and northwest ipc acute malnutrition analysis may 2023 april 2024 published on october 17, 2023 reliefweb. a href targetblanknigeria northeast and northwest ipc acute malnutrition analysis may 2023 april 2024 published on october 17, 2023anbspnbspfont color6f6f6freliefwebfont",https://news.google.com/rss/articles/CBMi3wFBVV95cUxPemdyTV82NW5NelEwTTYtSXREQ2xNVGVBWnVnY2F6Zlh5bWFUcVhnQ1N0X1JJV0tuWUc0TnM2VDhpZEY2eVYxb3NpZ0h1WXRtdjN0cGJtYjUyNldvSmNySjhjT0lWV1huWEg5aVRGcHNyZHVXclVEY2wzS0Y5ZGE5eFJkT01EblBVZkZCMUpHWGRDdV9pU2NJUWdFSG5zOWFkUUlQai1QMGduTlpTQlVHbTQzQXFwRkpzbGJGSlNRUHlsQjFKN3QzbEY2RUdXYzg3NWl2V3piWnVMc2J5bmc0?oc=5
4,Evaluation of hydro-chemical facies and surface water quality dynamics using multivariate statistical approaches in Southern Nigeria - Nature,evaluation of hydrochemical facies and surface water quality dynamics using multivariate statistical approaches in southern nigeria nature. a href targetblankevaluation of hydrochemical facies and surface water quality dynamics using multivariate statistical approaches in southern nigeriaanbspnbspfont color6f6f6fnaturefont,https://news.google.com/rss/articles/CBMiX0FVX3lxTE84TnNFVTVkdWlwS2V3a3RONmgzOVBZaWw1WlRBNzBZdlN0dnF0MjBHVmdYZ0dtWnlsVDFhZHZsUG5jOFdHdFJCb1dpNXZOSGo1aGs5N2o0VmVZT0hOM1dF?oc=5
4,Programos Foundation: 7 Startups to Represent Nigeria at UN WSA 2024 | Tech | Business | Economy - Techeconomy,programos foundation 7 startups to represent nigeria at un wsa 2024 tech business economy techeconomy. a href targetblankprogramos foundation 7 startups to represent nigeria at un wsa 2024 tech business economyanbspnbspfont color6f6f6ftecheconomyfont,https://news.google.com/rss/articles/CBMilgFBVV95cUxQNDJVOExBOXlUM294ZWFNc1A4SDB0UU9CWUZYWEVVQUVLUFJ1aEdpMjZsMUJMaEFac3d2YjVLWFdaRzh2Mk12X2xFbnBjWWY1Vll4NHZ1Z0RmYXR6eHBiUWxXTVJ3cW5aODcwbjZJdVg5ZTUzY05ZZWxqVEtFSmdhQ25JeGRjLU4weFdrRVhueEVpLWFSelE?oc=5
